Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
JP3;M05X2PTH;AVR_ICSP;91.0336;-56.4134;270.0;bottom
L1;WE-CBF_0603;603;90.9336;-64.0461;0.0;top
L2;WE-CBF_0603;603;72.8361;-68.4911;0.0;top
LED1;SSL-LX5093TC;LED5MM;126.5936;-100.0;180.0;top
LED2;SSL-LX5093PC;LED5MM;197.3825;-99.9;0.0;top
LED3;SSL-LX5093TC;LED_0603_1608Metric;126.32;-98.2725;0.0;top
LED4;SSL-LX5093PC;LED_0603_1608Metric;197.7;-98.3;180.0;top
Q1;8MHz;HC49UP;166.2811;-78.0161;0.0;top
Q2;MMBT3904;SOT23-BEC;79.6036;-113.5761;-90;top
R1;1.0k;R0603;110.0836;-61.5061;-90.0;top
R2;1.0k;R0603;111.6711;-61.5061;-90.0;top
R3;10kB;ALPS_POT_VERTICAL_PS;78.6511;-63.03175;180.0;top
R4;10kB;ALPS_POT_VERTICAL_PS;102.4636;-63.03175;180.0;top
R5;10kB;ALPS_POT_VERTICAL_PS;126.2761;-63.03175;180.0;top
R6;10kB;ALPS_POT_VERTICAL_PS;150.0886;-63.03175;180.0;top
R7;10kB;ALPS_POT_VERTICAL_PS;173.9011;-63.03175;180.0;top
R8;10kB;ALPS_POT_VERTICAL_PS;197.7136;-63.03175;180.0;top
R9;10kB;ALPS_POT_VERTICAL_PS;221.5261;-63.03175;180.0;top
R10;33;R0603;85.0;-79.0;180.0;top
R11;20k;R0603;92.6211;-80.2386;0.0;top
R12;20k;R0603;102.7811;-80.2386;180.0;top
R13;100k;R0603;95.1611;-81.1911;90.0;top
R14;120k;R0603;96.7486;-81.1911;90.0;top
R15;120k;R0603;98.6536;-81.1911;90.0;top
R16;100k;R0603;100.2411;-81.1911;90.0;top
R17;20k;R0603;119.2911;-82.7786;0.0;top
R18;20k;R0603;129.4511;-82.7786;180.0;top
R19;100k;R0603;121.8311;-83.7311;90.0;top
R20;120k;R0603;123.4186;-83.7311;90.0;top
R21;120k;R0603;125.3236;-83.7311;90.0;top
R22;100k;R0603;126.9111;-83.7311;90.0;top
R23;10kB;ALPS_POT_VERTICAL_PS;142.7861;-90.17795;180.0;top
R24;10kB;ALPS_POT_VERTICAL_PS;181.2036;-90.17795;180.0;top
R25;10kB;ALPS_POT_VERTICAL_PS;109.7661;-90.17805;180.0;top
R26;10kB;ALPS_POT_VERTICAL_PS;214.2236;-90.17805;180.0;top
R27;47k;R0603;72.3011;-91.9861;-90.0;top
R28;20k;R0603;85.6361;-92.3036;-90.0;top
R29;20k;R0603;131.3561;-92.9386;-90.0;top
R30;100k;R0603;94.2086;-93.8911;-90.0;top
R31;200k;R0603;95.7961;-93.8911;-90.0;top
R32;120k;R0603;99.6061;-93.8911;-90.0;top
R33;100k;R0603;101.1936;-93.8911;-90.0;top
R34;33k;R0603;91.6686;-94.8436;0.0;top
R35;20k;R0603;103.7336;-94.8436;180.0;top
R36;100k;R0603;72.3011;-95.1611;-90.0;top
R37;180k;R0603;73.8886;-95.1611;-90.0;top
R38;120k;R0603;84.0486;-95.4786;-90.0;top
R39;100k;R0603;85.6361;-95.4786;-90.0;top
R40;100k;R0603;120.8786;-96.4311;-90.0;top
R41;120k;R0603;122.4661;-96.4311;-90.0;top
R42;120k;R0603;129.7686;-96.4311;-90.0;top
R43;100k;R0603;131.3561;-96.4311;-90.0;top
R44;2.2k;R0603;193.2686;-96.4311;-90.0;top
R45;10k;R0603;221.4732;-98.75;-90.0;top
R46;20k;R0603;118.3386;-97.3836;0.0;top
R47;2.2k;R0603;126.3;-101.9;0.0;top
R48;20k;R0603;109.4486;-108.1786;0.0;top
R49;20k;R0603;119.6086;-108.1786;180.0;top
R50;10k;R0603;221.5;-93.5;90.0;top
R51;47k;R0603;136.7536;-108.8136;0.0;top
R52;2.2k;R0603;169.7736;-108.8136;90.0;top
R53;2.2k;R0603;171.3611;-108.8136;90.0;top
R54;100k;R0603;111.9886;-109.1311;90.0;top
R55;120k;R0603;113.5761;-109.1311;90.0;top
R56;120k;R0603;115.4811;-109.1311;90.0;top
R57;100k;R0603;117.0686;-109.1311;90.0;top
R58;6.8k;R0603;139.2936;-109.7661;90.0;top
R59;47k;R0603;140.8811;-109.7661;90.0;top
R60;10k;R0603;77.0636;-113.2586;-90.0;top
R61;10kB;ALPS_POT_VERTICAL_PS;102.4636;-117.32425;180.0;top
R62;10kB;ALPS_POT_VERTICAL_PS;126.2761;-117.32425;180.0;top
R63;10kB;ALPS_POT_VERTICAL_PS;150.0886;-117.32425;180.0;top
R64;10kB;ALPS_POT_VERTICAL_PS;173.9011;-117.32425;180.0;top
R65;10kB;ALPS_POT_VERTICAL_PS;197.7136;-117.32425;180.0;top
R66;10kB;ALPS_POT_VERTICAL_PS;221.5261;-117.32425;180.0;top
R67;100k;R0603;78.6511;-117.7036;90.0;top
R68;6.8k;R0603;137.7061;-121.1961;-90.0;top
R69;47k;R0603;139.2936;-121.1961;-90.0;top
R70;120k;R0603;115.7986;-121.5136;-90.0;top
R71;100k;R0603;117.3861;-121.5136;-90.0;top
R72;47k;R0603;135.1661;-121.8311;0.0;top
R73;20k;R0603;119.9261;-122.1486;180.0;top
R74;6.8k;R0603;91.9861;-130.0861;-90.0;top
R75;36k;R0603;87.8586;-130.4036;180.0;top
R76;10kB;ALPS_POT_VERTICAL;100.2411;-137.17675;180.0;top
R77;10kB;ALPS_POT_VERTICAL;113.2586;-137.17675;180.0;top
R78;10kB;ALPS_POT_VERTICAL;126.2761;-137.17675;180.0;top
R79;10kB;ALPS_POT_VERTICAL;139.2936;-137.17675;180.0;top
R80;10kB;ALPS_POT_VERTICAL;152.3111;-137.17675;180.0;top
R81;10kB;ALPS_POT_VERTICAL;171.6786;-137.17675;180.0;top
R82;10kB;ALPS_POT_VERTICAL;184.6961;-137.17675;180.0;top
